Date,Revenue_MAD,Margin_MAD,Energy_kWh,CO2_Emissions_kg,Absenteeism_Pct,Customer_Satisfaction
2024-01-01,3256.96,494.53,152.15,35.0,0.58,84.7
2024-01-02,2948.08,711.75,149.05,34.28,3.15,83.19
2024-01-03,3349.65,541.89,169.93,39.08,4.44,85.78
2024-01-04,3795.92,788.23,146.26,33.64,3.99,81.97
2024-01-05,2925.91,519.07,157.93,36.32,3.17,80.48
2024-01-06,2934.48,602.79,159.53,36.69,2.61,87.49
2024-01-07,3849.71,828.23,140.24,32.26,3.65,87.52
2024-01-08,3452.36,804.31,173.96,40.01,2.22,81.78
2024-01-09,2842.42,485.04,151.13,34.76,3.38,88.58
2024-01-10,3356.93,507.23,140.02,32.21,3.4,82.47
2024-01-11,2862.4,468.54,166.38,38.27,3.85,86.01
2024-01-12,2869.69,688.73,138.18,31.78,5.21,88.28
2024-01-13,3231.94,767.23,157.22,36.16,3.31,84.87
2024-01-14,2162.7,453.61,156.98,36.1,2.59,86.82
2024-01-15,2265.22,475.81,179.38,41.26,2.98,82.93
2024-01-16,2854.84,618.08,167.65,38.56,1.58,84.21
2024-01-17,2637.83,441.93,158.15,36.38,2.44,84.18
2024-01-18,3309.58,799.07,175.5,40.37,2.67,82.01
2024-01-19,2706.62,519.34,187.44,43.11,2.58,84.29
2024-01-20,2462.61,463.74,171.28,39.39,3.12,78.81
2024-01-21,3909.66,789.33,160.82,36.99,2.34,83.04
2024-01-22,3071.97,475.22,134.86,31.02,3.9,83.86
2024-01-23,3226.6,537.64,140.27,32.26,3.0,83.98
2024-01-24,2488.37,556.91,155.94,35.87,2.99,84.03
2024-01-25,2936.41,464.77,150.33,34.57,2.74,84.75
2024-01-26,3271.85,688.12,159.24,36.63,3.12,86.92
2024-01-27,2648.62,462.28,164.58,37.85,3.66,88.5
2024-01-28,3419.62,646.07,174.5,40.14,2.31,82.4
2024-01-29,2939.05,525.71,162.95,37.48,2.47,80.19
2024-01-30,3101.04,575.45,174.54,40.14,2.76,80.83
2024-01-31,2953.48,655.39,166.55,38.31,1.92,83.05
2024-02-01,4187.85,752.61,126.19,29.02,2.34,83.59
